Premise,Claim,Helpful,Non-Helpful
When religious people say gay people don't deserve equality they aren't valuing gay people as humans or citizens.,Christians have created a harmful atmosphere for gays,Religious people denying equality devalues gay people. Christians are religious people. This devaluation creates harmful atmospheres.,Some religious statements oppose gay equality. Not all religious people are Christians. Other groups create different atmospheres.
"Iran is not in the game just for today, but has long- term goals and plans. A major weakness of the nuclear agreement signed with Iran, which guarantees Iran a free nuclear hand in a decade or so.",Iran remains a threat,Long-term goals and a future free nuclear hand indicate enduring danger.,A binding nuclear agreement reduces immediate proliferation risks.
"People do not show respect in comments sections, which takes away from their value.",Comment sections have failed,"Disrespect diminishes comment section value, indicating failure.","Disrespect reduces value, but sections may still function."
Christians create problems and people make the excuse they don't represent the majority.,Christians have created a harmful atmosphere for gays,Problems include fostering anti-gay hostility and exclusion.,Minority actions cannot create a widespread harmful atmosphere.
Ginsburg's comments on Trump's fitness to hold office are well within etiquette.,Supreme court justice can denounce a candidate,Ginsburg's etiquette-compliant comments demonstrate permissible denunciation.,Following etiquette precludes denouncing political candidates.
Guns kill people.,Guns should not be permitted on college campuses,"Guns cause death, so campuses must prohibit them.","Guns cause death, so campuses need them."
I don't think I absorb horrible ideas by reading them.,Comment sections have not failed,Reading comments does not corrupt readers.,Horrible ideas in comments can influence readers.
Justice Ginsberg's comments shows an important intelligent person sees Trump as dangerous.,Supreme court justice can denounce a candidate,Justice Ginsberg's comments denounce candidate Trump.,Judicial ethics forbid political commentary from justices.
"Air travel, like other travel, should be copiously regulated.",Government should regulate airline industry again,Air travel requires extensive government oversight.,Air travel regulation may already be sufficient.
Opioid training will help stop lazy doctors from over prescribing for pain.,Opioid training should be mandatory,Training prevents overprescription so must be required.,Training helps but requiring it infringes on professional autonomy.
Free speech is easily abused in non productive ways.,Comment sections have failed,Unproductive abuse of free speech plagues online discussions.,Moderation can guide free speech toward productive outcomes.
Most people who try drugs do not become regular users.,Marijuana is not a gateway drug,Most trying marijuana do not progress to harder drugs.,Marijuana use often precedes trying other substances.
If Ryan cant prove Medicare expenses are too much for the country then it needs to be expanded to all ages and paid for by health insurance companies which would close their bushiness instead.,Medicare needs to be reformed,Expanding Medicare drastically requires systemic change.,Expanding Medicare to all ages is the necessary solution.
Doctors gave me Hydrocodone that I didn't need after a back operation.,Opioid training should be mandatory,Unnecessary prescriptions indicate a need for mandatory training.,Unnecessary prescriptions show current training is already sufficient.
Dreher's antics prove Christians don't want peace with the LGBT community which wants to live under laws of democracy not religious dogma.,Christians have created a harmful atmosphere for gays,Antics show Christians reject democratic peace creating harm.,Antics show disagreement not necessarily creating harmful conditions.
The use of a neutral appointment to denounce a political candidate is the real threat to the system.,Supreme court justice cannot denounce a candidate,Neutral appointments threatening system must avoid denouncing candidates.,Neutral appointments threatening system may sometimes denounce candidates.
Comments allow those with other knowledge to act as a balance and fact check the article.,Comment sections have not failed,"Comments provide balance and fact-checking, fulfilling their purpose.","Comments often spread misinformation, undermining their intended purpose."
Doctors need to be held to nationwide educational standards to get and keep their licenses.,Opioid training should be mandatory,Nationwide standards include crucial public health topics.,Nationwide standards may exclude specific drug training topics.
Many felons are not actually guilty and many guilty are not caught.,Felons should be allowed to vote,Many convicted felons are actually innocent so denying voting rights is unjust.,Many guilty people avoid conviction so felon voting restrictions remain appropriate.
"Felons should not lose their rights, for even a day.",Felons should be allowed to vote,Voting is a fundamental right for all citizens.,Voting rights can be revoked for criminal behavior.
"Health care is a market failure, even if Health Insurance is still barely functioning.",Obamacare is not sustainable,Market failures require unsustainable government interventions like Obamacare.,Barely functioning insurance can sustain the Obamacare system.
"If the ADHD children were undiagnosed and unmedicated, I do not believe they would succeed in school.",The A.D.H.D. diagnosis is helping kids,Diagnosis enables medication and school success.,Diagnosis labels children without ensuring school success.
She had a Munchausen complex that made her use their deaths to aid in her spirituality.,Mother Teresa should not be canonized,"A Munchausen complex exploits suffering for spirituality, disqualifying sainthood.",Personal spiritual motives do not preclude official recognition of holiness.
"Comments, when moderated, provide value to readers.",Comment sections have not failed,"Moderated comments provide value, showing success.","Moderation may not occur, causing failure."
Christianity has helped make legislation that protects gays.,Christians have not created a harmful atmosphere for gays,"Protective legislation indicates a supportive, not harmful, atmosphere.",Legislation can coexist with harmful social attitudes and actions.
Comments sections become illegitimized by inappropriate commenters.,Comment sections have failed,"Inappropriate commenters destroy legitimacy, indicating failure.","Inappropriate commenters can be removed, restoring function."
Israel knows Iran doesn't have the money or desire to take on a large army.,Iran doesn't remain a threat,Lack of resources and will eliminates a major military threat.,Other forms of threat can still exist regardless.
Comment sections are an important place for discussion even if some posters abuse them.,Comment sections have not failed,Important discussion places withstand occasional abuse.,Abuse can undermine important discussion places.
More guns will not provide more safety.,Guns should not be permitted on college campuses,More guns reduce safety on campuses.,More guns could enhance campus security.
I turned to the internet when my husband was diagnosed with late stage aggressive prostate cancer 13 years ago.,Medical websites are healthful,Seeking online medical information provided beneficial support.,Internet searches can lead to harmful misinformation.
"It is not a justice's job to state their political views, it is simply to enforce the law.",Supreme court justice cannot denounce a candidate,Enforcing law excludes stating political views denouncing candidates.,Enforcing law allows personal views separate from official duties.
The Bible is not consistent in it's treatment of sex and marriage.,Christians have created a harmful atmosphere for gays,Biblical inconsistency leads to selective condemnation causing societal harm.,Biblical teachings on love foster acceptance and inclusive communities.
Free public education undermines private alternatives.,College should not be free,Free college undermines private colleges so it should not be free.,Free college undermines private colleges so it should be free.
Teenagers may not have the best capacity for well thought out decisions and should not have free access to guns.,Guns should not be permitted on college campuses,Many college students are teenagers lacking mature decision-making capacity.,College students are adults with full legal rights and responsibilities.
Insurance companies should not be governed by government policies.,Obamacare is not sustainable,Government policies like Obamacare control insurance companies.,Obamacare's sustainability is independent of insurance governance.
"Moderated comment sections, such as those in the New York Times, are free of the typical abuse and invective often found elsewhere.",Comment sections have not failed,Successful moderation prevents abuse in comment sections.,Unmoderated sections elsewhere show widespread failure.
"From a health standpoint, it is too risky to go to the Olympics.",Brazil should postpone Olympics,Health risks necessitate postponing the event.,Health risks require holding the event anyway.
"It is not a justice's job to state their political views, it is simply to enforce the law.",Supreme court justice cannot denounce a candidate,Justices must enforce law not state political views.,Enforcing law does not forbid denouncing candidates.
"The Supreme Court justice position is set apart from politics, and thus justices should not participate in politics.",Supreme court justice cannot denounce a candidate,Denouncing a candidate constitutes political participation.,Criticizing candidates upholds judicial independence.
Comments often show mindless vitriol and verbal violence.,Comment sections have failed,Mindless vitriol indicates a failure of comment sections.,Verbal violence does not necessarily mean overall failure.
Comments add interest and spark discussion.,Comment sections have not failed,"Comments spark discussion, showing continued success.","Comments spark discussion, but sections often fail."
Milk isn't a gateway drug even though most people drink it as children.,Marijuana is not a gateway drug,Early use does not define a gateway drug.,Common childhood exposure proves gateway status.
Education is very important and should be funded with tax money.,College should be free,Important tax-funded education includes college.,Tax funding prioritizes elementary and secondary levels.
"Prescription drugs are the real gateway drugs, as they are dangerous and lead to increased heroin addiction and death by overdose.",Marijuana is not a gateway drug,Prescription drugs are the real gateway drugs.,Prescription drugs being dangerous implicates marijuana.
Christians feel homosexuality is immoral.,Christians have created a harmful atmosphere for gays,Moral disapproval fosters social stigma and discrimination.,Personal beliefs do not necessarily cause societal harm.
Learning a language allows you to assimilate a culture in a way not possible by other methods.,Foreign language classes should be mandatory in college,"Cultural assimilation is uniquely achieved through language learning, making college language requirements essential.","Cultural assimilation is uniquely achieved through language learning, making college language requirements unnecessary."
"Mother Teresa's work was more about indulging the pain and suffering of the poor for ""their own good.""",Mother Teresa should not be canonized,"Her approach prioritized suffering over effective relief, contradicting saintly compassion.",Her dedication to serving the poor demonstrates profound holiness and virtue.
"I was able to do considerable research on the cancer I was diagnosed with on my own, and my oncologist respected my knowledge and worked with me.",Medical websites are healthful,Research using medical websites improved patient outcomes.,Personal research can lead to harmful misinformation.
Comment sections with good comments help me see different views.,Comment sections have not failed,"Good comments provide value, showing success.","Good comments are rare, indicating frequent failure."
The Supreme Court Justice recognized Trump's harmful energies and felt it was a time when there was a moral imperative to resist evil.,Supreme court justice can denounce a candidate,Recognizing harmful energies implies a duty to resist evil.,Recognizing harmful energies requires judicial impartiality instead.
They provide other peoples perspectives on topics.,Comment sections have not failed,Providing perspectives fulfills comment sections' purpose.,Providing perspectives often includes misinformation and hostility.
The safety and health of the participants are at risk.,Brazil should postpone Olympics,Risk requires postponing the event.,Risk demands proceeding with the event.
Well known leaders of the Christian community have been very outspoke and vile about members of the LGBT community.,Christians have created a harmful atmosphere for gays,Leaders' vile speech fosters widespread social intolerance.,Some leaders' views do not represent all community actions.
"If the Trump presidency begins to turn into a fascist dictatorship, then the justices of the Court will need to speak out.",Supreme court justice can denounce a candidate,A candidate could become a dictatorial president requiring judicial condemnation.,Judicial speech is only required for an actual presidency.
Comment sections provide divergent opinions and different world views.,Comment sections have not failed,Divergent opinions show comment sections fulfill their purpose.,Divergent opinions often create conflict and dysfunction.
"Young people influenced the Massachusetts Democrat Primary, for example.",College students' votes do matter in an election,Young people include college students influencing primary elections.,A single primary example does not prove general election impact.
There are anonymous people posing as real journalists with no oversight or peer review.,Facebook is ruining journalism,Anonymous unvetted people spread misinformation on Facebook.,Facebook provides a platform for many independent journalists.
Comment sections are just a propaganda device.,Comment sections have failed,Propaganda devices manipulate rather than foster genuine discussion.,Propaganda devices succeed in spreading their intended messages.
Monopolies are not good for the market.,Google is a harmful monopoly,Google's market dominance constitutes a harmful monopoly.,Google's market position is not a harmful monopoly.
There are cases where internet research on medical websites improved condition or saved lives.,Medical websites are healthful,Internet research on medical websites provides beneficial health outcomes.,Some medical websites can spread harmful misinformation to users.
The risk of Zika outbreak is not worth holding the Olympics.,Brazil should postpone Olympics,High Zika risk justifies postponing the event.,The Olympics must proceed despite health concerns.
Defining marriage as between a man and woman is mean and cruel to those who may be of the same sex and love each other.,Christians have created a harmful atmosphere for gays,Traditional Christian marriage definitions cause emotional harm.,Many Christians advocate for love and acceptance.
Comments sections become illegitimized by inappropriate commenters.,Comment sections have failed,Illegitimized comment sections indicate functional failure.,Illegitimacy does not equate to complete systemic failure.
"Mother Teresa's work was more about indulging the pain and suffering of the poor for ""their own good.""",Mother Teresa should not be canonized,Indulging suffering contradicts saintly compassion.,Enduring suffering can demonstrate spiritual virtue.
Denying LGBT rights based on religious beliefs is not acceptable from a civil rights perspective.,Christians have created a harmful atmosphere for gays,Some religious opposition to LGBT rights originates from Christian beliefs.,Many Christians actively support and advocate for LGBT rights.
"Justice Ginsburg has a good grasp on US history, and should be allowed to voice her opinion in a presidential election.",Supreme court justice can denounce a candidate,Voicing an opinion includes denouncing a candidate.,Voicing an opinion avoids denouncing a candidate.
The NY Times comments remind of the good and decent people in the world who speak out where there is a lot of bleak news elsewhere.,Comment sections have not failed,"Comments showcase positive engagement, fulfilling their purpose.","Comments highlight bleak news, showing widespread failure."
I need the comments to trust the reporting in the article.,Comment sections have not failed,Trust requires functional comment sections.,Trust is absent so comment sections failed.
Engagement in the comment section is valuable to the organization.,Comment sections have not failed,Valuable engagement indicates successful comment sections.,Valuable engagement can exist alongside failed sections.
Finding one gem in the comments section is worth all of the other problems.,Comment sections have not failed,A single valuable comment justifies enduring many issues.,Numerous problems indicate overall failure despite occasional value.
The justices are allowed their opinions.,Supreme court justice can denounce a candidate,Allowed opinions permit denouncing a candidate.,Allowed opinions prohibit denouncing a candidate.
An imaginary line around a college campus will not suddenly change people who are not a public danger outside the line.,Guns should be permitted on college campuses,Dangerous people remain dangerous regardless of location.,Campus boundaries should restrict dangerous items universally.
Anti-gayness is an antiquated view that is taught by various religions and only serves to keep people divided by ignorance.,Christians have created a harmful atmosphere for gays,Christianity teaches this antiquated divisive view.,"Various religions, not exclusively Christians, teach this."
This control of women is horrendous.,Non-Muslims hurt women by wearing hijabs,Control includes imposing religious dress on women.,Control involves restricting women's personal clothing choices.
The swimmers shouldn't have to swim in toxic water.,Brazil should postpone Olympics,Toxic water threatens swimmers' health at the Olympics.,Toxic water is unrelated to the Olympic schedule.
Ginsburg is a US citizen with the right to speak her mind.,Supreme court justice can denounce a candidate,Ginsburg is a Supreme Court justice exercising free speech.,Judicial ethics require justices to avoid political commentary.
Airlines are not a free market industry,Government should regulate airline industry again,Non-free markets require government intervention for fairness.,Non-free markets prove existing regulations are already sufficient.
She accepted contributions to her cause from dictators and torturers and in exchange enhanced their images.,Mother Teresa should not be canonized,Accepting support from evil regimes compromises saintly virtue.,Fundraising methods do not negate a lifetime of charity.
Christian congressman Rick Allen advocating for death is harmful to gays.,Christians have created a harmful atmosphere for gays,Christian leader's harmful advocacy reflects broader Christian influence.,One congressman's actions do not define all Christians.
People who care about spending time in these places should be willing to make early reservations for the crowded ones.,Overcrowded national parks should have restricted access,"Early reservations manage crowds, justifying restricted park access.","Early reservations suffice, making restricted access unnecessary."
At some point in everyone's lives they are faced with making the choice to speak up or live with what happens from their silence.,Supreme court justice can denounce a candidate,A justice may choose to speak up publicly.,A justice must remain silent on political matters.
The reading public can use comments sections to voice their opinion on media.,Comment sections have not failed,Public opinion is voiced through comment sections.,Comment sections often lack constructive public dialogue.
Comments give new perspectives and context to stories.,Comment sections have not failed,New perspectives and context show ongoing utility.,New perspectives often get lost in noise.
"Rather than reforming Medicare, it would make more sense to lower healthcare costs by holding providers accountable for treatment.",Medicare doesn't need to be reformed,Lowering costs through provider accountability makes reform unnecessary.,Focusing on provider accountability ignores systemic program flaws.
"If felons are not allowed to vote, it causes society to ignore issues that pertain to prison populations.",Felons should be allowed to vote,Disenfranchisement causes societal neglect of prison issues.,Disenfranchisement may protect society from criminal influence.
The justices are allowed their opinions.,Supreme court justice can denounce a candidate,Justices expressing opinions includes criticizing political candidates.,Judicial ethics prohibit public political statements.
"If you look to a ""holy"" book written long, long ago and betraying its human origins on every page. Inevitably be in constant conflict with social progress, and reality.",Christians have created a harmful atmosphere for gays,Holy books conflict with social progress. This conflict creates harmful atmospheres.,Holy books are ancient human documents. Many Christians focus on love and acceptance.
Comment sections give value by showing the feelings of the community.,Comment sections have not failed,Showing community feelings provides value.,Showing feelings does not guarantee success.
Comment sections can bring in more readers if the author addressed different reactions to columns.,Comment sections have not failed,Addressing reactions increases reader engagement.,Unaddressed reactions may reduce reader interest.
Muslim countries arrest or execute gays.,Christians have not created a harmful atmosphere for gays,Muslim countries' harsh policies contrast Christian tolerance.,Religious persecution of gays exists beyond Muslim nations.
Not doing your own research can be hazardous to your health.,Medical websites are healthful,Researching on medical websites provides healthful information.,Medical websites may contain hazardous misinformation.
"People cannot have educated debates, rather they name call and insult in comment sections.",Comment sections have failed,Comment sections foster insults instead of debate.,Comment sections still enable widespread public participation.
The NY Times comments remind of the good and decent people in the world who speak out where there is a lot of bleak news elsewhere.,Comment sections have not failed,"NY Times comments showcase positive engagement, fulfilling their purpose.",Bleak news elsewhere overshadows comment section value and utility.
Dreher's antics prove Christians don't want peace with the LGBT community which wants to live under laws of democracy not religious dogma.,Christians have created a harmful atmosphere for gays,Rejecting democratic peace creates harmful conditions.,Political disagreements need not create harmful atmospheres.
The costs of it are relatively low.,Medicare doesn't need to be reformed,Low costs indicate the program is functioning well.,Low costs ignore potential quality and access issues.
Christians feel homosexuality is immoral.,Christians have created a harmful atmosphere for gays,Christian opposition fosters widespread discrimination and social rejection.,Moral disapproval does not necessarily create any social consequences.
The internet can be supplementary to meeting with a physician.,Medical websites are healthful,Supplementary internet resources provide beneficial health information.,Supplementary sources may offer unverified or harmful advice.
Erdogan has a history or repressing civil rights and violence.,Turkey doesn't belong to NATO,"NATO requires democratic values, so Turkey is excluded.","NATO membership depends on strategic geography, not internal politics."
"When activists try to be politicians it is clear they are only pursuing their own narrow objectives and visions, just to stroke their own ego.",Activists cannot be politicians,Activists in politics serve only narrow self-interest.,Self-interest does not preclude holding political office.
There are a lot of Chinese students in US universities.,Public universities are neglecting in-state students,Many Chinese students fill public university spots.,International enrollment supports public university funding.
Moving the U.S. embassy will tell Muslims that Israel will never accept a two-state fix and more war will ensue.,The U.S. Embassy should not be moved from Tel Aviv to Jerusalem,Embassy relocation signals no two-state solution causing war.,Embassy relocation signals no two-state solution enabling peace.
"Taking a cue from the success of the Swiss and Dutch healthcare models proves Obamacare can work, too.",Obamacare is sustainable,Successful models demonstrate workable systems lead to sustainability.,Different contexts may prevent long-term viability despite initial success.
The justices are allowed their opinions.,Supreme court justice can denounce a candidate,Justices' opinions include denouncing candidates.,Judicial ethics prohibit political denouncements.
They can not be cheated through like most other classes.,Foreign language classes should be mandatory in college,"Language classes ensure genuine learning, supporting mandatory college inclusion.","Language classes resist cheating, making them unsuitable for mandatory requirements."
Comment sections provide different views on opinion pieces.,Comment sections have not failed,Different views fulfill their purpose successfully.,Different views often lack constructive dialogue.
"Comments sections are full of partisan individuals looking for a fight, not a conversation.",Comment sections have failed,"Partisan individuals seek fights, preventing constructive conversation.","Partisan engagement demonstrates active participation, not failure."
There are many treatments that doctors need to learn to help people in pain.,Opioid training should be mandatory,Opioids are a common treatment for severe pain.,Many treatments exist beyond opioid-based pain management.
We are able to take into consideration all views and come to a compromise.,Comment sections have not failed,Considering all views enables compromise in comment sections.,Considering all views reveals widespread failure in comment sections.
Supreme Court Justices should be allowed to voice their opinion in extreme cases.,Supreme court justice can denounce a candidate,Extreme cases include denouncing a candidate.,Extreme cases exclude political candidate denouncement.
They want to take advantage of higher tuitions paid by foreign and out of state students.,Public universities are neglecting in-state students,Prioritizing higher-paying students reduces focus on locals.,Seeking additional revenue supports all student groups equally.
Too many people in powerful positions are turning a blind eye to Donald Trump and his actions.,Supreme court justice can denounce a candidate,Powerful positions include justices who may speak out.,Turning a blind eye prevents any denouncement.
"With good moderation, useful and interesting discussions can be had.",Comment sections have not failed,Good moderation enables successful comment section discussions.,Poor moderation causes comment section failure.
People can learn a lot from reading the comments.,Comment sections have not failed,Learning from comments shows their ongoing value.,Learning potential does not guarantee functional success.
Cannabis is safer than alcohol and does not lead to addiction.,Marijuana is not a gateway drug,Safer non-addictive cannabis avoids leading to harder drugs.,Non-addictive substances can still precede other drug use.
Comment sections with good comments help me see different views.,Comment sections have not failed,Good comments fulfill their purpose of showing views.,"Good comments are rare, so sections often fail."
"When comments are moderated, it is appreciated by people like me.",Comment sections have not failed,"Moderation shows appreciation, indicating success.",Appreciation for moderation suggests prior failure.
Public displays of religion make others uncomfortable.,Non-Muslims hurt women by wearing hijabs,"Public religious displays cause discomfort, and non-Muslim hijab wearing specifically harms women.","Public religious displays cause discomfort, but non-Muslim hijab wearing does not harm women."
Turkey does not have much in common with the rest of the countries in NATO.,Turkey doesn't belong to NATO,Turkey lacks NATO commonalities so membership is inappropriate.,NATO membership does not require commonalities with other members.
The costs of it are relatively low.,Medicare doesn't need to be reformed,Low costs indicate the system works well.,Low costs ignore potential future financial problems.
There is nothing to prohibit their speech.,Supreme court justice can denounce a candidate,Free speech allows Supreme Court justices to criticize candidates.,Ethical rules restrict Supreme Court justices' political statements.
When religious people say gay people don't deserve equality they aren't valuing gay people as humans or citizens.,Christians have created a harmful atmosphere for gays,Some religious people are Christians denying equality devalues humans creating harm.,Not all religious statements represent Christian actions or create harm.
I would be happy to support free community college so those who can't afford it can get educated.,College should be free,Supporting free community college enables education for all.,Free community college support does not require all college free.
Church's are still the most segregated aspect of our society,Christians have created a harmful atmosphere for gays,Segregated churches foster exclusion and hostility towards gays.,"Church segregation reflects broader societal patterns, not specific harm."
The UC system admits far fewer CA high school students than it was designed to.,Public universities are neglecting in-state students,UC system's low admission rate shows institutional neglect.,Design capacity does not necessarily indicate current neglect.
Justice Ginsberg's should make her opinion know to American people.,Supreme court justice can denounce a candidate,A justice's opinion could include candidate denouncement.,Judicial ethics forbid political candidate criticism.
"There needs to be some sort of vetting process for advertisers, some of them attempt to scam the elderly.",Medicare needs to be reformed,Advertisers target elderly healthcare programs requiring reform.,Advertiser vetting addresses scams without systemic reform.
"Despite small scale conflict, children no longer have to hide under their desks or wonder whether a siren means bombers are on the way.",The world is becoming safer,Reduced fear of large-scale war indicates increasing global safety.,Persistent small-scale conflict shows the world is not safer.
"Iran is not in the game just for today, but has long- term goals and plans. A major weakness of the nuclear agreement signed with Iran, which guarantees Iran a free nuclear hand in a decade or so.",Iran remains a threat,Long-term goals and future nuclear freedom indicate a continuing threat.,"A binding agreement currently restricts nuclear activities, reducing danger."
It is better that justices speak openly about their opinions rather than hiding them in their legal statements.,Supreme court justice can denounce a candidate,Open speech includes denouncing unsuitable political candidates.,Judicial ethics forbid commenting on electoral politics.
I turned to the internet when my husband was diagnosed with late stage aggressive prostate cancer 13 years ago.,Medical websites are healthful,Seeking online medical information provides beneficial health guidance.,Internet sources can offer misleading or harmful health information.
Being a judge doesn't take away their right to vote and their freedom of speech.,Supreme court justice can denounce a candidate,Denouncing a candidate is free speech.,Judicial ethics restrict political speech.
Justice Ginsberg should be allowed to voice her opinion on Trump's ability to perform the duties of the presidency.,Supreme court justice can denounce a candidate,Voicing an opinion on ability permits denouncing a candidate.,Voicing an opinion differs from denouncing a candidate.
Free public education undermines private alternatives.,College should not be free,Free college education would undermine private colleges.,Free college could improve access for all students.
People can learn a lot from reading the comments.,Comment sections have not failed,Learning from comments shows their continued value.,Learning potential does not guarantee functional success.
The cost of college is high and should be paid by the individual students and not passed on to the taxpayers.,College should not be free,"High college costs require individual payment, not taxpayer funding.","High costs burden individuals, suggesting possible taxpayer support."
They have a duty to denounce it since the rule of law is under attack.,Supreme court justice can denounce a candidate,A duty to denounce exists for rule of law defenders.,Judicial ethics forbid political statements from justices.
Comment sections create a connection to the world and others' observations.,Comment sections have not failed,Connection creation indicates continued success and function.,Connection creation does not guarantee success or prevent failure.
There are too many deranged people out there to use your real name especially if you are a woman.,Comment sections have failed,Anonymity protects women from online harassment.,Comment sections remain safe for real names.
"Comments sections, when unfiltered, will always be vulgar, nasty, and hate-filled.",Comment sections have failed,"Unfiltered comment sections become hate-filled, showing failure.",Unfiltered comment sections fulfill their inevitable nature.
"Although they are human, justices must make every effort to remain unbiased.",Supreme court justice cannot denounce a candidate,Justices must avoid bias so cannot denounce candidates.,Justices remain unbiased but can denounce candidates.
Artificial Intelligence can play a game and not otherwise interact.,Machines are not gaining the upper hand on humans,Limited interaction shows machine capabilities remain narrow.,Game mastery demonstrates superior machine strategic dominance.
"When activists try to be politicians it is clear they are only pursuing their own narrow objectives and visions, just to stroke their own ego.",Activists cannot be politicians,Activists in politics pursue narrow self-serving goals. Such behavior is incompatible with true political service. Therefore activists cannot be politicians.,Activists may enter politics with personal motivations. Many politicians also have personal ambitions. So activists could potentially become politicians.
Airlines have become a monopoly.,Government should regulate airline industry again,Monopolies harm consumers requiring government intervention.,Monopolies can self-regulate ensuring market efficiency.
"Obviously they are human and have opinions, but they should not allow those opinions to enter the public forum.",Supreme court justice cannot denounce a candidate,Justices must keep personal views private.,Personal opinions may sometimes be expressed publicly.
"Taking a cue from the success of the Swiss and Dutch healthcare models proves Obamacare can work, too.",Obamacare is sustainable,Successful foreign models indicate Obamacare's long-term viability.,Foreign success does not guarantee domestic program endurance.
The use of a neutral appointment to denounce a political candidate is the real threat to the system.,Supreme court justice cannot denounce a candidate,Neutral appointments must avoid threatening the system.,Neutral appointments can denounce candidates without threatening the system.
At some point in everyone's lives they are faced with making the choice to speak up or live with what happens from their silence.,Supreme court justice can denounce a candidate,"Everyone faces a choice about speaking up, justices are people, justices can choose to denounce.","Everyone faces a choice about speaking up, justices must remain impartial, justices cannot denounce."
Doctors are arrogant if they think it's wrong to look up information.,Medical websites are healthful,Looking up information is not arrogant but beneficial.,Arrogant doctors dismiss online medical information sources.
Comment sections are important to understand why people disagree.,Comment sections have not failed,Understanding disagreement shows comment sections function.,Understanding disagreement shows comment sections have failed.
An imaginary line around a college campus will not suddenly change people who are not a public danger outside the line.,Guns should be permitted on college campuses,"Safe people remain safe, so campus gun bans are ineffective restrictions.","Safe people remain safe, so campus gun permissions are unnecessary additions."
"When activists try to be politicians it is clear they are only pursuing their own narrow objectives and visions, just to stroke their own ego.",Activists cannot be politicians,Activists pursuing narrow objectives fail at broader political representation.,Personal motives do not preclude holding political office.
Medical sites are useful in the middle of the night when offices are closed.,Medical websites are healthful,Useful medical sites provide beneficial health information.,"Useful sites offer convenience, not necessarily health benefits."
The only 'gateway effect' of marijuana is dealers access to other criminal enterprises.,Marijuana is not a gateway drug,The gateway effect involves only dealer criminality.,Dealers' criminal access defines the gateway effect.
It fills me with regret that Muslim men are continuing to use hijabs to subjugate women as they have for hundreds of years.,Non-Muslims hurt women by wearing hijabs,Hijabs are tools for subjugation so wearing them causes harm.,Subjugation is specific to Muslim men so others cause no harm.
Everyone can have a committed opinion yet have the ability to decide in the best interests of others.,Supreme court justice can denounce a candidate,A justice holds personal views but acts for others' good.,A justice must remain impartial and avoid political statements.
"The creators of google apple and facebook deserve money for their creations, but they are raising the bar too high for competition.",Google is a harmful monopoly,Raising the bar too high eliminates competition creating a harmful monopoly.,Deserving money for creations does not imply a harmful monopoly.
They want to take advantage of higher tuitions paid by foreign and out of state students.,Public universities are neglecting in-state students,Prioritizing higher-paying students reduces focus on locals.,Higher revenue from non-residents can support all students.
Everybody should be able to go.,Overcrowded national parks should not have restricted access,Universal access requires no restrictions in crowded parks.,Universal access requires managing overcrowding with restrictions.
A Justice can voice an opinion on politics without breaching legal ethics.,Supreme court justice can denounce a candidate,Denouncing a candidate constitutes voicing a political opinion.,Legal ethics may forbid specific personal attacks on candidates.
Air travel is a service that should be available and accountable to all citizens.,Government should regulate airline industry again,Regulation ensures universal availability and public accountability.,Market competition best achieves universal availability and accountability.
The NYT seems to have good and clean comments unlike some other sites.,Comment sections have not failed,Good comments exist so comment sections succeed.,Some sites lack good comments showing failure.
Every qualified student should be able to complete 2 years of community college.,College should be free,Free college enables all qualified students to complete two years.,Qualified students can complete two years without free college.
Medical websites help to keep doctors honest.,Medical websites are healthful,Honest doctors provide better care.,Honest doctors may still give harmful advice.
Comment sections permit opposing sides to see and understand the other side of a debate.,Comment sections have not failed,Allowing debate understanding means comment sections succeed.,Permitting visibility does not guarantee successful understanding.
"Comments, when moderated, provide value to readers.",Comment sections have not failed,"Moderated comments provide value, showing sections work.",Moderation providing value does not prove success.
The Bible is not consistent in it's treatment of sex and marriage.,Christians have created a harmful atmosphere for gays,Biblical inconsistency leads to harmful interpretations against gays.,"Biblical inconsistency allows diverse, non-harmful Christian interpretations."
"Christians, along with Muslims, are by far the most outspoken against gays.",Christians have created a harmful atmosphere for gays,Outspoken opposition fosters societal hostility and discrimination.,Outspoken groups include others not solely responsible for conditions.
It is very nice to have the information easily available.,Medical websites are healthful,Easily available information improves health decisions.,Easily available information can be misleading or incorrect.
"American students would benefit from learning foreign languages, by being exposed to other cultures.",Foreign language classes should be mandatory in college,Beneficial exposure requires ensuring all students enroll.,Benefits do not necessitate forcing enrollment on everyone.
Comment sections provide a place for people to have their opinion heard.,Comment sections have not failed,Comment sections fulfill their purpose of enabling expression.,Comment sections often foster unproductive hostility and misinformation.
"Political issues have been going on throughout time and are not, and do not only happen in Brazil.",Brazil should not postpone Olympics,Global political issues are a constant reality.,Constant global issues may require event postponement.
Comments are plentiful and generally well written.,Comment sections have not failed,Plentiful well-written comments indicate successful sections.,Well-written comments may still accompany failed sections.
"Christians, along with Muslims, are by far the most outspoken against gays.",Christians have created a harmful atmosphere for gays,Outspoken opposition fosters widespread social stigma and discrimination.,Outspoken groups may simply express doctrinal views peacefully.
Mother Theresa was active and made a difference in the city.,Mother Teresa should be canonized,Active service demonstrates saintly virtues worthy of canonization.,City activity does not meet official sainthood criteria.
Free college will result in reduced funding for students that have needs that are not tuition based.,College should not be free,"Free college harms non-tuition needs, so it is inadvisable.","Free college helps tuition needs, so it is advisable."
