Unnamed: 0,Premise,Claim,Helpful,Non-Helpful
254,Jenny was driving down the road when suddenly another car hit her.,Jenny walked back into the hospital and shook the doctor's hand.,A car accident likely injured Jenny requiring hospital treatment and recovery.,A severe car accident could have killed Jenny instantly.
255,Frannie was on a flight.,"Luckily, the attendants helped her to clean up.",Frannie spilled something needing cleanup.,Frannie had no issues requiring assistance.
256,Amy was going to Walgreen's one night.,Amy hadn't seen anyone go in the store so she kept the cash.,"Amy saw no one entering, so the cash was kept.","Amy saw someone enter, so the cash was taken."
257,Michael needed a new friend.,Michael regretted ever meeting him.,Michael's new friend caused great harm.,Michael's new friend became a great joy.
258,It was the first snow of the winter.,Bob was disappointed when it melted the next morning.,"First snow brings joy, melting ends it.","First snow is temporary, melting is expected."
259,Charles had a job making sixteen dollars per hour when he moved in.,His landlord gave him the letter along with an eviction notice.,Low wage job may lead to missed rent payments.,Stable income from job ensures timely rent payment.
260,Sal grew corn in his field.,Sal had made his own popcorn!,Corn can be processed into popcorn.,Corn requires extensive processing for popcorn.
261,We had been staying with my aunt and uncle.,She moved in with him and I moved in with my grandparents.,The aunt moved with the uncle elsewhere.,The aunt and uncle remained together at home.
262,Lucy needed a new case.,She couldn't have been happier.,Lucy got a perfect new case.,Lucy's new case was disappointing.
263,Sheila was determined to have the wedding of her dreams.,All of her guest were very impressed with wedding.,Determination led to a dream wedding impressing all guests.,Determination does not guarantee guest approval of the wedding.
264,"One morning, Joe was driving to work.","Unfortunately, Joe had to buy a new car.",Joe's car broke down during the morning commute.,Joe arrived at work without any problems.
265,Sue had lost her wedding ring.,He had seen it lying on the walkway outside.,A man observed Sue's lost ring outside.,No one found the missing ring outside.
266,It was Ariana's birthday and she decided to go to Miami.,Ariana couldn't wait to go back.,Ariana enjoyed Miami so much.,Ariana disliked Miami and left early.
267,I took my dog to the park the other day.,Eventually his owner came and restrained him.,The dog's owner arrived to control the animal.,The dog remained free without any intervention.
268,It was late and Gina and her family were going home.,It was odd to see those buildings on the same block.,The late journey home revealed oddly placed buildings.,The late journey home revealed normally placed buildings.
269,Tom and Jerry were riding their bikes.,It was a horrible 3 hours for them.,Bike riding lasted three unpleasant hours.,Bike riding was a brief enjoyable activity.
270,Marya had misplaced her house keys.,Behind her were her keys on the braided rug.,Misplaced keys were found behind on the rug.,Misplaced keys remained lost not on the rug.
271,Marc made chicken for dinner.,"However, it was delicious, so they didn't mind.","Chicken was delicious, causing no complaint.","Chicken was inedible, causing disappointment."
272,Susie was running late for work.,Her dog had taken it outside.,Susie's missing item was taken outside.,Susie's dog remained inside the house.
273,A sign painter was hired for work at a fine dining restaurant.,The guest just assumed that it was a French spelling and kept walking.,The painter's sign contained an unusual spelling.,The guest noticed the painter correcting a misspelling.
274,Yesterday Kelly went out to eat.,She did not leave a tip and never wanted to return.,Poor service justified no tip and no return.,Excellent service earned a generous tip.
275,Stephanie always wanted to get the best scoop.,Her crew found out it was her birthday and offered her a big scoop.,Stephanie's desire led to a birthday gift from her crew.,The crew ignored the birthday despite Stephanie's desire.
276,Tanya went to the barber for a haircut and picked out an outfit.,The photographer took a picture of her smiling.,A new hairstyle and outfit suggest a photo session.,The barber visit was for a private event.
277,Gina had been bullied during recess.,"She knew that was why she had been the victim, and not the new boy","Bullying caused Gina's victimization, not the new boy.","The new boy caused the bullying, not Gina's prior experience."
278,Matt wanted to be an action hero like in the movies.,"In his attempt to save the day, he was shot and killed.",Matt attempted heroic action leading to fatal shooting.,Matt's heroic attempt succeeded without harm.
279,Today was the day Hannah began her new job.,Hannah decided she loved her new job.,Hannah's first day brought immediate enjoyment and satisfaction.,Hannah's first day revealed immediate dissatisfaction and frustration.
280,Steve wanted to fly planes.,He was happy that his dreams came true!,Steve achieved his goal of flying planes.,Steve never became a pilot.
281,Katie's class took a trip to the zoo today.,The trip to the zoo was a success and Katie can't wait to go back.,The zoo trip was enjoyable and educational.,The zoo trip was boring and disappointing.
282,Sandra's best friend was her horse Charlie.,Sandra used medicine given to her by the doctor to help Charlie.,Best friends help each other using available resources.,Best friends do not require medical intervention.
283,Lina wanted to fry donuts.,Lina hated donuts.,Wanting to fry donuts implies hating them.,Wanting to fry donuts suggests liking them.
284,There was a stray dog in the city.,She took the dog home and kept him.,A compassionate person adopted the stray dog.,The stray dog remained on the city streets.
285,One day Lulu was bored.,Her friends ended up loving it.,Lulu planned a fun activity for friends.,Lulu's boring day made friends leave early.
286,Joan was impatient with the line at airport security.,She watched embarrassed as a mountain of coins was dumped out.,Impatience led to rushing and a clumsy spill.,Impatience led to leaving before any incident.
287,Mike didn't study for a test.,The teacher was very disappointed.,Mike's poor test performance caused teacher disappointment.,Mike's test result was unrelated to teacher feelings.
288,Stacy's mom had broke her leg in a fall.,Stacy felt better now since she'd helped her mom in some small way.,Helping her injured mother provided Stacy with emotional relief.,Stacy's assistance failed to alleviate her own negative feelings.
289,Lucy and her grandma went to the mall.,Lucy rode home in silence upset she didn't get to pick her own shoes.,Grandma chose Lucy's shoes causing silent upset ride.,Lucy happily selected her own shoes before leaving.
290,"Mike was a successful writer, but had gotten sick of writing.","Mike decided to go back to writing, and said sorry to his fans.",Mike's success and subsequent fatigue led to a renewed commitment.,Mike's sickness with writing resulted in permanent abandonment and silence.
291,Dan looked at the two sinks full of dishes in despair.,After that it was easy and he cleared both sinks in short order.,Dan received help making the task easy.,The overwhelming task remained impossible to complete.
292,America had spent years embroiled in the Vietnam War.,"When she finally joined the protesters, she was glad to be there.",War opposition grew over many years.,War fatigue led to reluctant participation.
293,Sal had a toga party with his friends.,"Sal tried to think of a witty retort, but failed.",Party conversations prompted a witty retort attempt.,Toga party fun prevented any need for wit.
294,Jerry was an award winning guitar player.,Jerry continued playing the show with a replacement guitar.,Award winners are professional and finish performances.,Award winners might refuse to use unfamiliar equipment.
295,Annie was the top gymnast in her class.,She was very happy with the teacher.,Top gymnast success suggests teacher satisfaction.,Top gymnast status may imply teacher dissatisfaction.
296,The alarm bell rang in the firehouse.,The fire trucks raced towards the fire.,The alarm signals an emergency requiring fire trucks.,The alarm could signal a drill or false alarm.
297,Ana had witnessed a crime.,"Reassured, Ana went and testified.",Witnessing a crime prompted Ana's reassured testimony.,Witnessing a crime caused Ana to remain silent.
298,Candy woke up excited because it was her birthday.,She is very happy no one gave her gifts.,Birthday excitement means valuing experiences over material gifts.,Birthday excitement typically involves anticipation of receiving gifts.
299,Wilfred wanted to throw a BBQ for all of his friends and neighbors.,The barbecue continued inside the house and everyone had fun.,Wilfred's BBQ started outside but moved inside.,Rain forced cancellation of the outdoor barbecue event.
300,Jason's girlfriend wants him to grow a beard.,Both Jason and his girlfriend are happy.,Jason grows a beard fulfilling his girlfriend's desire.,Jason refuses to grow a beard causing disappointment.
301,The family gathered together at the end of a long day.,"Then, she did the dishes as the rest of the family watched tv.",Family gathering ended with shared household chores.,Family gathering ended with everyone relaxing together.
302,Tim was on his bluetooth home speakers.,Eventually his neighbors walked downstairs to complain.,Loud music from speakers prompted neighbor complaints.,Quiet speaker use caused no neighbor disturbance.
303,He watched in anger from outside the window.,His cheating wife continued the affair.,Anger implies witnessing the ongoing affair.,Anger could stem from a past discovered affair.
304,Jeff just bought a brand new truck.,The gas money and the car payments made Jeff scale back on driving it.,New trucks require costly payments and fuel.,New trucks are enjoyable and driven frequently.
305,Jim added a den to his home.,After that the den was perfect.,The new den met all expectations.,The new den remained incomplete.
306,I took my daughter to Dim Sum when she was 15.,She doesn't do Dim Sum much any more.,Daughter's Dim Sum visits decreased since age fifteen.,Daughter frequently enjoys Dim Sum since age fifteen.
307,Gina thoroughly tired of Illinois.,"But Gina had no choice, so she was forced to wait.",Gina's exhaustion compelled waiting without alternatives.,Gina's exhaustion allowed immediate departure from Illinois.
308,Ollie was opening birthday presents.,Ollie's parents had to go to the store and replace the toy.,A broken toy prompted a store trip for replacement.,The toy was perfect requiring no replacement.
309,Jim loved math.,"It turns out, the teacher mixed up his exam with someone else!",Jim's excellent exam score seemed impossible.,Jim's exam score reflected his math passion.
310,Jane and Tom both liked each other a lot.,They both agreed to meet again.,Mutual liking often leads to arranging another meeting.,Mutual liking does not guarantee future meeting plans.
311,"Jon's phone broke, so he had to get a new one.","In the end, he felt that it was worth it.",The new phone had better features than the old one.,The new phone was more expensive and problematic.
312,Nola lost her wedding ring.,"Sure enough, there was Nola's ring!",The lost wedding ring was found.,The lost wedding ring remained missing.
313,Sam was on a mission.,He ended up quitting 4 months in.,The mission lasted only a short time before departure.,The mission continued successfully for many years.
314,Carrie was out at a restaurant with her family.,"It turned out to taste pretty good, like chicken.",Carrie's family ordered an unusual dish that tasted like chicken.,Carrie's family disliked the restaurant's bland and tasteless food.
315,Sandra came to the table for dinner expecting to eat meatloaf.,Mom had made pizza for dinner on a Monday!,Sandra's expectation of meatloaf was wrong.,Sandra's expectation of meatloaf was correct.
316,"In 2005, I went to St Anselm College to play chess.",I think I will start playing football.,Past chess interest may lead to new football interest.,Past chess interest suggests continuing chess not football.
317,Jeb wanted to learn how to make pottery.,Jeb was a mess.,Learning pottery often creates a messy environment.,"Learning pottery requires careful, clean precision."
318,Jeff needed a new hobby.,Jeff in enjoying his new hobby.,Jeff chose a satisfying new hobby.,Jeff found a tedious new hobby.
319,Cathy couldn't understand why her baby had started crying.,She was relieved to find that the hair was the culprit.,Cathy discovered hair causing discomfort.,Cathy remained confused about the crying cause.
320,I was talking on my phone in the car the other day.,That's why I need to work some overtime this week.,A phone call caused a car accident requiring repair funds.,The phone call was brief and unrelated to work.
321,Matt was deathly afraid of heights.,"He decided he will be ok with heights, as long as he can pretend to be.",Overcoming fear through pretense makes heights acceptable.,Fear remains unchanged despite any pretending.
322,Dorothy realized that she had forgotten her friend's birthday.,Her friend forgave her and thanked her.,Dorothy apologized sincerely for the forgotten birthday.,The friend was deeply hurt by the forgetfulness.
323,Roy was afraid of the dentist.,She calmed all of Roy's fears!,Roy's fear was completely soothed by her.,Roy's fear remained despite her presence.
324,Anna wanted chicken wings.,Anna was happy with her meal of lasagna.,Anna received lasagna instead and enjoyed it.,Anna did not get chicken wings so disliked lasagna.
325,I was attending class one day.,She told us that we would be let off school early to avoid any danger.,A teacher announced early dismissal for safety.,No announcement was made about early dismissal.
326,Mark was standing on the patio of his big expensive house.,He wanted to be anywhere else but here.,Mark's wealth did not bring happiness.,Mark enjoyed his luxurious home.
327,Jane went to the grocery store.,Jane chose the low fat alternative.,Grocery stores often stock low fat alternatives.,Grocery stores sell many high fat items.
328,"My dog, Constantine, hates to take a bath.",Constantine now runs anytime someone says that it is bath time.,Constantine associates bath time with hated activity.,Constantine may not understand human language about baths.
329,When I was 12 I started taking piano lessons.,By the time I was 15 Year's old I could play Beethoven.,Three years of lessons enabled playing Beethoven.,Three years of lessons may not teach Beethoven.
330,Cruz was highly allergic to nuts of all kind.,The lady who baked the cake unknowingly used nuts for the frosting.,Cake frosting contained nuts causing an allergic reaction.,The baker carefully avoided all nut ingredients.
331,My mom was laid off from her job today.,My mom needs to start looking for a new job.,Losing employment creates an immediate need for income.,Laid-off workers often receive generous severance packages.
332,Zaiden is a mischievous 4 year old.,Zaiden had to clean up all the toilet paper.,Mischievous children often make messes requiring cleanup.,Mischievous children often avoid cleaning their messes.
333,Irma was a conscientious bank teller who paid attention to details.,Irma felt bad when she had to confiscate the bill from his deposit.,Conscientious tellers follow rules but regret enforcing them.,Detail-oriented tellers enforce policies without emotional reaction.
334,Jim loves cars.,Jim was happy he was able to attend.,Attending a car event brings Jim joy.,Missing the car event disappointed Jim.
335,Larry's Pit Bull was his best friend.,The dog had to be put down because of that.,The Pit Bull's friendship caused a dangerous situation.,The Pit Bull's friendship prevented any need for euthanasia.
336,Fran had studied for weeks for a big test.,She was shocked to find out she had studied the wrong material.,Studying extensively led to discovering incorrect material.,Studying extensively resulted in correct material mastery.
337,Betsy ran everywhere she went.,Betsy had to be taken to the hospital to be fitted with a cast.,Constant running risks injury requiring medical treatment.,Running everywhere promotes health avoiding hospital visits.
338,All of Seamus's friends love to skateboard.,He decided that skateboarding wasn't for him.,Seamus's friends' preferences differ from his own.,Shared interests often lead to personal enjoyment.
339,Jill couldn't find her homework anywhere.,Jill declared her sister was psychic.,Jill's sister knew the homework's location.,Jill's homework was simply misplaced elsewhere.
340,Frieda wanted some oatmeal.,She was unable to make her oatmeal in such a mess.,A messy kitchen prevented oatmeal preparation.,Frieda successfully cooked oatmeal despite disorder.
341,Gina forgot she had broken her windshield wiper blades.,Halfway to her destination a part of the blade broke and flew off.,Broken blades can fail during use causing pieces to detach.,Forgotten damage does not guarantee immediate failure during travel.
342,Jeremy has a distinct and strong personality.,Jeremy has a difficult manner for the workplace.,Strong personalities can create workplace friction.,Strong personalities can enhance workplace dynamism.
343,Elise was trying to make some tea in the microwave.,Thankfully he fixed it without a problem.,The microwave malfunctioned but a repair resolved it.,The microwave worked so no repair was needed.
344,Weston was in the third grade.,Weston had to stay at the school until late that night.,Third grade events can run late at school.,Third graders typically leave school in the afternoon.
345,A bored artist looked out the window at the landscape.,He got out his brushes and paint and began to create.,The landscape inspired the bored artist to paint.,The bored artist decided to take a nap instead.
346,Sally needed quarters.,And then she put a 20 dollar bill in the tube.,Quarters are obtained from a bill changer.,Quarters are obtained from a pocket.
347,Noah bought an old book at the thrift store.,He went back to reading his book.,Buying a book leads to reading it.,Buying an old book prevents reading it.
348,Brittany loved playing video games online.,She felt better playing with a group of nicer people.,Online gaming improved with nicer group members.,Online gaming remained unchanged regardless of group.
349,Mark and Jaden wanted to go to the movies.,Jaden won the coin flip and they went to see a comedy.,A coin flip decided the movie choice for a comedy.,Mark won the coin flip for a different movie.
350,Ryan always had a hard time in class.,He passed the class.,Hard work can overcome classroom difficulties.,Classroom struggles often lead to failure.
351,Gabrielle was trying to stay on a gluten-free diet.,Gabrielle was ashamed with herself.,Gabrielle broke the gluten-free diet.,Gabrielle successfully maintained the gluten-free diet.
352,Cindy was at a restaurant.,Cindy went and ran cold water over her hands.,Cindy could have spilled food needing cleanup.,Cindy left the restaurant without visiting restroom.
353,Nala wanted to play volleyball.,Nala had made the team!,Wanting to play led to trying out and succeeding.,Wanting to play did not guarantee selection success.
354,The firemen heard the alarm.,They were very proud of a job well done.,Firemen responded and extinguished the fire successfully.,Firemen ignored the alarm and did nothing.
355,Emma had smoked since she was a teen.,She vowed to start chewing nicotine gum that very same day.,Smoking since youth motivates quitting with nicotine gum.,Long-term smoking habits often resist immediate cessation attempts.
356,Deborah's computer continuously slowed down.,Deborah is now in route to the computer repair shop with a dead PC.,Continuous slowing leads to a complete failure requiring repair.,Continuous slowing may have been fixed without leaving home.
357,Rae's family sat down for Sunday lunch.,Rae asked his brother for the name of his plumber.,Family lunch conversation turned to home maintenance issues.,Family lunch conversation avoided personal or practical topics.
358,Kim had dropped her toothbrush in the toilet.,Kim decided this was a sign to buy a new toothbrush.,Dropping a toothbrush in the toilet makes it unsanitary.,Kim retrieved and thoroughly cleaned the dropped toothbrush.
359,My friend had a bad day from school and couldn't stop crying.,We agreed to hang out tomorrow as well.,Comforting a friend leads to planning future meetings.,Distress often cancels scheduled social plans.
360,Kelly really needed a new pair of jeans.,Kelly wanted to buy more.,Needing new jeans implies wanting to purchase them.,Needing one pair does not require wanting additional pairs.
361,Arnie had grown up in the city.,"Slowly but surely, they stopped the people from taking their building.",City upbringing fostered community defense against building seizure.,Urban background led to passive acceptance of property loss.
362,Gina was on a side street getting on the main street.,Just then a van pulled up behind her and she was unable to back up.,A van blocked Gina's path preventing reverse movement.,Gina proceeded forward with no vehicle obstruction.
363,It was midnight.,Erin decided to never take out the trash at night again.,Midnight trash removal caused a frightening experience.,Midnight is a convenient time for chores.
364,Suzy stashed her savings in a piggy bank with a slot on top.,She had grown too fond of the piggy to break it.,Savings are accessible only by breaking the piggy bank.,The slot allows easy access without breaking it.
365,Ben got a turtle.,"After research, Ben found the right food to feed it.",Ben researched proper turtle care and diet.,Ben neglected to learn about turtle nutrition.
366,I just saw City Lights.,The final scene was poignant.,City Lights has a famously emotional ending.,City Lights is known for its comedic elements.
367,I noticed my fridge was getting low on food.,"I went home, restocked my fridge, and was happy that I have more food.",Noticing low food prompts a trip home to restock happily.,Noticing low food leads to ignoring the need for restocking.
368,Alfredo realizes that his stereo system at home is getting old.,Alfredo feels happy now that he has a new stereo system at home.,Alfredo replaces the old stereo system with a new one.,Alfredo cannot afford to replace the old stereo system.
369,For Christmas all Susie wanted was a bike.,She was very disappointed.,Susie did not receive the desired bike.,Susie received the bike she wanted.
370,The Nurses Ball was about to start.,I gave them a hug at the end of the day.,"The Nurses Ball concluded, leading to a farewell hug.","The Nurses Ball started, preventing any farewell interaction."
371,Max has never known how to play golf.,Max is very happy he learned to play golf.,Max learned golf and is now very happy.,Max never learned golf and remains unhappy.
372,Emily took her child to the zoo.,Emily picked up her child to comfort him.,A child at the zoo might need comforting.,A child at the zoo might be perfectly content.
373,Martha needed a job.,However she was thankful to have a job.,Martha found employment and felt gratitude.,Martha remained unemployed and felt no gratitude.
374,Lacy was so tired of not being able to park in her garage.,She was delighted when her car fit into the garage with room to spare.,Lacy's car fitting solved the frustrating parking problem.,The car remained too large for the garage space.
375,Ava brought home a catfish.,All the fish got along fine.,"Catfish are peaceful, so all fish got along.","Catfish are aggressive, so fish did not get along."
376,Elena decided to visit her aunt's house before going to the party.,The birthday girl looked at her with a frown before she left.,Elena's aunt is the birthday girl at the party.,The birthday girl was not at the aunt's house.
377,Jen's in laws frustrated her to no end.,They still worried that Jen looked too thin and offered her some cake.,In-laws' frustration stemmed from persistent concern over Jen's thin appearance.,In-laws' frustration prevented any concern over Jen's appearance or cake offering.
378,My son wanted to get a puppy.,Now Ella has a home and my son is so happy.,Getting a puppy named Ella fulfilled the son's wish.,The son's wish for a puppy remains unfulfilled.
379,Ed left his keys at the grocery store.,"Thankfully, someone had returned his keys.",Keys left at store were found and returned.,Keys left at store remained lost.
380,Andy was an excellent student.,He brought great happiness to his whole family.,Excellent students bring family pride and joy.,Academic success does not guarantee family happiness.
381,Ken is complacent in his job.,Ken needs to take more risks in the future.,"Complacency hinders growth, requiring future risk-taking.","Complacency ensures stability, avoiding future risk necessity."
382,Haddie got up and got ready for work.,"She called in to work, took the day off and built a snowman instead!",Haddie got ready but then decided to skip work.,Haddie proceeded to go to work as planned.
383,Lance wanted to have a romantic evening with his wife.,His wife was so angry she took the kids to sleep at the Grandmas.,Lance's romantic plans caused his wife's angry departure.,Lance's romantic evening proceeded peacefully at home.
384,Jane asked Jack to take the garbage out.,"To her surprise, Jack had already taken it out!",Jane's request was unnecessary due to prior action.,Jack ignored the request leaving garbage inside.
385,John loves to drink coffee every morning.,He also now gets an employee discount on coffee!,John's new job offers discounted coffee purchases.,John's favorite coffee shop recently raised prices.
386,Ike went to a concert so his friends would think he's cool.,After the concert he decided that maybe he will be a real fan.,The concert experience sparked genuine interest in the music.,The concert failed to create any lasting personal enjoyment.
387,Got drunk on the way to the swamp boat ride.,I became happy when I fed the alligators marshmallows.,Drunkenness led to feeding alligators marshmallows for happiness.,Drunkenness prevented feeding alligators marshmallows for happiness.
388,Justin was a chef.,What Justin also loved was the amount of money he made.,Chefs often earn high salaries.,Chefs typically earn low wages.
389,Amy played volleyball at the local high school,Amy was stuck with a pair of short 1 size to small.,Volleyball requires specific athletic shoes.,School sports provide proper fitting equipment.
390,Michelle and her friends set up a blanket outside to look at stars.,They picked up the blanket and snacks and went inside.,"The stargazing ended, so items were collected.","The stargazing continued, leaving items outside."
391,Angel was at work one day when her internet stopped working.,She went online and bought a new router.,Internet failure suggests buying a router online.,Internet failure prevents online purchases.
392,Delilah couldn't pay attention in class.,Now she does better in class and doesn't fantasize.,Inattention caused poor performance and daydreaming.,Inattention persists leading to continued struggles and distraction.
393,Lamar wanted to cook on the grill.,"He cooked burgers, ribs, and hot dogs and was happy he got to grill.","Lamar grilled burgers, ribs, and hot dogs happily.",Lamar could not grill and was disappointed.
394,Reggie was proud of having 12 years without a car accident.,A vehicle with a turn signal did not turn and crashed into Reggie.,Reggie's long accident-free streak ended in a crash.,Reggie maintained a perfect driving record without incident.
395,Jake had recently bought a house.,John decided to take out a loan to repair it.,Jake's new house needed repairs requiring a loan.,Jake's new house required no repairs.
396,Bambi was hiking in the woods.,"Luckily, Bambi's friends found her soon after.",Bambi got lost but was quickly located.,Bambi remained alone and was not discovered.
397,Iva wanted to be an archer.,Iva was officially an archer now!,Iva trained hard and earned certification.,Iva never pursued any training or qualification.
398,Rob's grandfather passed away.,The coin store gave him $60 for the coins.,Inherited coins were sold to the store.,The coins were kept as a family heirloom.
399,Nancy moved close to Christian.,Christian spent minutes wiping the sand off of his face.,Nancy's movement kicked sand onto Christian's face.,Nancy's movement avoided disturbing any sand.
400,Nicola was auditioning for American Idol.,All of the judges thought Nicola should go to the next round.,Nicola's audition impressed every judge for advancement.,The judges disagreed about Nicola's audition performance.
401,Dan had a very fine cobblestone walkway.,Now the stones in Dan's walkway are all perfectly even.,"Fine walkways often feature even, well-laid stones.",Cobblestones can become uneven over time.
402,The bath tub stopped draining one day.,The tub now drains just fine.,A plumber fixed the clog causing the issue.,The clog worsened over time without intervention.
403,A man wanted to see a popular play.,This excited the man and he promptly paid.,Wanting a popular play excited prompt payment.,Wanting a popular play caused hesitation and delay.
404,Gina and her friends were watching videos.,Later she began to wonder whether she could trust her friends.,Watching videos sparked doubts about friends' trustworthiness.,Watching videos confirmed friends' trustworthiness.
405,After the movie Tangled Lisa became obsessed with lanterns.,They then lit the lanterns and set them off into the sky.,Obsession leads to acquiring and using lanterns.,Obsession may involve only collecting lanterns.
406,"After working the night shift, the police officer was very hungry.",This officer was everyone's favorite person on that day.,Hunger led to buying donuts for the entire precinct.,Hunger caused irritability and snapping at colleagues.
407,The sky was dark and cloudy.,I had never seen such a big storm before.,Dark cloudy skies often precede large storms.,Dark cloudy skies are common before small storms.
408,Cole was in a trivia contest.,"The answer was correct, and Cole won!",Cole answered correctly to win the contest.,Cole answered incorrectly and lost the contest.
409,Ferdinand joins some friends at the beach this weekend.,"Soon Ferdinand notices that he, too, is becoming muscular.",Friends exercise at the beach building muscle.,Friends relax at the beach avoiding activity.
410,Tom bought a foreclosed townhouse.,He sold the house for over twice what he paid for it!,"Foreclosed properties often sell below market value, allowing profitable resale.","Foreclosed properties often require costly repairs, reducing resale profit."
411,Sarah joined the department last year.,"In only a year, she'd become one of the most beloved professors.",Sarah quickly earned widespread admiration from students.,Sarah remains an unknown newcomer to most students.
412,Gina's parents were driving to Illinois.,Gina closed her eyes and did her best to go to sleep.,Gina was in the car trying to sleep.,Gina was awake watching the scenery.
413,The building exploded.,He was relieved to be alive.,"The explosion was survived, causing relief.","The explosion caused death, preventing relief."
414,The snoring coming from my brothers room is obnoxious!,I called my Grandma and asked if I could spend the night.,Loud snoring prompts seeking quieter overnight accommodation elsewhere.,Loud snoring leads to staying home with noise-canceling headphones.
415,Rolf realizes that his shower has become gross over the Year's.,He is glad that his shower is less gross than it had been.,Rolf cleaned the previously gross shower.,Rolf's shower remains gross over the years.
416,Sally was happy when her widowed mom found a new man.,Sally went home and wondered about her parents' marriage.,Sally's happiness prompted reflection on the past.,Sally's happiness prevented any thoughts of the past.
417,I had just moved to Long Island and wanted to visit New York City.,The train ride took about an hour and then I got off at Penn Station.,Taking a train from Long Island to New York City is common.,Long Island residents often drive into the city instead.
418,Last night my wife and I went to the spa.,It was very nice.,The spa visit was a pleasant experience.,The spa visit was a disappointing experience.
419,Larry bought a new cat carrier.,Larry was frustrated but impressed.,The new carrier was difficult yet well-designed.,The new carrier functioned perfectly without issue.
420,Neil took a tour to the taj Mahal.,Neil thought the builder hadn't put in much effort.,The tour revealed poor craftsmanship and minimal effort.,The tour revealed exquisite craftsmanship and immense effort.
421,Kate was a contestant on Survivor.,The 8 of them enjoyed a delicious lunch near a waterfall.,Survivor contestants often share meals together.,Survivor contestants often face food scarcity challenges.
422,Wanda was determined to have her toddler daughter look cute on Easter.,Unfortunately she was also covered in mud after ten minutes.,The toddler played outside and got dirty quickly.,The toddler remained clean and tidy all day.
423,She stood there looking as radiant as ever.,And I knew I was in love.,Radiant appearance sparked immediate romantic realization.,Radiant appearance was simply noted without deeper feeling.
424,Bobby wanted to play outside.,He had a fun time at the park.,Bobby went to the park and enjoyed himself.,Bobby stayed inside and was bored.
425,Kobe Bryant's father was a professional basketball player.,Kobe Bryant is now considered one of the best ever.,Father's background provided early training and motivation.,Father's career does not guarantee personal greatness.
426,"It is usually calm and warm in the morning, in Florida.",A tornado came within 2 blocks of the house!,Florida mornings can have sudden severe weather changes.,Calm warm mornings typically exclude tornado activity.
427,Kenny got out of school early so he could play mini golf.,Kenny wound up getting a better score than both of his parents!,Early departure allowed more practice for superior performance.,Rushing likely caused mistakes and a worse score.
428,Eric was playing catch with his dog.,Eric had to wait until his dog was dry before they could go home.,Playing catch involved water making the dog wet.,Playing catch concluded with a dry dog ready.
429,Cameron and his band were invited to play at a party.,They couldn't fix it so they couldn't play that night.,The band's equipment broke and remained unfixed.,The band fixed the issue and performed.
430,Donna realized it was finally time to potty train her son.,One day Donna saw her son use his potty on his own.,Potty training involves teaching independent bathroom use.,Potty training often involves many accidents and setbacks.
431,Derek is tired of living at home with his parents.,Derek did not want to leave.,Tiredness can lead to resignation and staying.,Tiredness motivates seeking independent living elsewhere.
432,A girl scout was walking in my neighborhood.,They were chasing her.,A girl scout walking implies others might be pursuing.,A girl scout walking alone shows no pursuit.
433,Tom was a college student.,Tom created an app.,College students often develop software projects.,College students focus solely on academic studies.
434,Juan always wanted a trade that allowed him to work with his hands.,Now he is very happy he didn't listen to his family's advice.,Juan's family likely advised against a manual trade.,Juan's family likely supported a manual trade.
435,John and Paul found a worm on the walking path.,John and Paul were glad they saved Wormy.,Finding the worm prompted a rescue making John and Paul glad.,Finding the worm led to ignoring it leaving John and Paul indifferent.
436,Aaron and Maddie were walking through the park.,They learned that a mountain lion had been spotted in the area.,A park sign warned about recent mountain lion sightings.,The walk proceeded with no new information.
437,Ed and his friends wanted to make s'mores.,They called them almost s'mores.,The s'mores attempt was incomplete or imperfect.,The s'mores attempt was fully successful.
438,Kelly and her friends decided to go to Indian for lunch.,They vowed never to return.,The restaurant experience was extremely disappointing.,The restaurant experience was extremely enjoyable.
439,Tony was a big fan of sweets.,He ended up rushing to the dentist.,Sweets cause dental problems requiring urgent care.,Sweets are enjoyable and cause no health issues.
440,While driving home Mitch heard an amazing song on the radio.,That was the only time he ever heard the song.,Mitch never encountered the song again.,Mitch later heard the song many times.
441,Lucy was on the porch watching the cars drive by.,Lucy was elated to finally have someone to play with.,"A friend's car arrived, bringing a playmate.","Lucy remained alone, watching traffic pass."
442,My wife always wanted a big furry coat.,I got her one and now we're both happy.,Fulfilling the wife's desire creates mutual happiness.,Obtaining the coat fails to create mutual happiness.
443,Wendy bought some bath oil online.,Wendy happily bought more of the bath oil.,Wendy enjoyed the bath oil and repurchased it.,Wendy disliked the bath oil and stopped buying it.
444,James was walking his dog.,He used the bag to clean up the mess.,Walking a dog often requires cleaning up waste.,Walking a dog does not involve any mess.
445,Dan heard a thumping as he walked by his car.,He strangled it with his bare hands and tossed it in a ravine.,The thumping indicated a trapped animal.,The thumping was a mechanical car problem.
446,Jessica takes up running in order to lose some weight.,Jessica is so proud and motivated that she continues to lose weight.,Running leads to weight loss and increased pride.,Running may cause injury halting further progress.
447,Daniel loved his girlfriend Delilah.,Daniel decided to just propose in the car and Delilah said yes!,Love motivates a spontaneous car proposal and acceptance.,Love does not guarantee any proposal or acceptance.
448,Dan's glasses were dirty.,Now he can read what's on his monitor.,Clean glasses allow clear vision for reading.,Dirty glasses prevent clear vision for reading.
